artist_genius_id,pseudonym,country,n_before,n_after,mean_before,mean_after,delta,cohens_d,p_value,significant
23616,Noize MC,Литва,40,40,-0.18579444867041378,-0.2307705287883679,-0.04497608011795412,-0.16065000339430516,0.7599858551675281,False
24422,Oxxxymiron,Великобритания,38,38,-0.21663421902217364,-0.16425988445744702,0.05237433456472662,0.1625113991922223,0.6079143899965486,False
331727,Соня Таюрская,США,17,17,0.005310612128061407,0.15373979216697167,0.14842918003891026,0.27114819436868287,0.35201568979053277,False
356911,Лу (Louna),Израиль,28,28,-0.14750646711105395,-0.004308643617800304,0.14319782349325363,0.5740760588721586,0.13905006522878835,False
638315,Монеточка,Литва,31,31,-0.3236413298435109,-0.23783780945244654,0.08580352039106437,0.2927192356861344,0.288225856344273,False
659958,Анастасия Креслина,Великобритания,29,29,-0.15740202392997413,-0.1878523048141907,-0.030450280884216585,-0.05793827318132465,0.37538178139146205,False
988966,FACE,Греция,26,26,-0.16492711416421793,-0.3306935799236481,-0.1657664657594302,-0.38533824708546116,0.2535935842870344,False
1025364,Земфира,Франция,13,13,-0.18351318973761338,0.016125469253613398,0.1996386589912268,0.49119456216998364,0.2861025864111867,False
1027095,Шура Би-2,Израиль,33,33,-0.1684864614949082,-0.08156414330005646,0.08692231819485174,0.23034268922885906,0.41352259151709125,False
1105316,Арсений Морозов,Грузия,32,32,-0.14901927020400763,-0.2604709528386593,-0.11145168263465166,-0.31735172692168595,0.2196544942192663,False
1158010,Айгель Гайсина,Турция,28,28,0.16346564028589497,-0.05204079929916631,-0.21550643958506127,-0.5342808352051057,0.013967284700799675,True
1267272,Моргенштерн,ОАЭ,45,45,-0.23605566435941946,-0.26480302678214185,-0.028747362422722383,-0.06684245178810834,0.8274372139287394,False
1319279,Кирилл Иванов,Грузия,27,27,-0.2107095234555963,-0.225903903628573,-0.015194380172976696,-0.04325440830333662,0.9299741799105131,False
1325712,Гречка,Грузия,46,46,-0.19262561995698058,-0.10998039060960645,0.08264522934737413,0.19930474499545703,0.20219453197068593,False
1365487,Борис Гребенщиков,Великобритания,52,52,-0.007245650371679893,-0.12788640220577902,-0.12064075183409913,-0.3953040507658952,0.065671853356499,False
1481096,Максим Покровский,США,24,24,-0.30885538769265014,-0.314954437315464,-0.006099049622813879,-0.016506753346746606,0.6251180563832364,False
1642799,Максим Леонидов,Израиль,32,32,0.14150510681793094,-0.00015866942703723907,-0.14166377624496818,-0.33121407945938913,0.04313243375245145,True
1656186,Вера Мусаелян,Германия,18,18,-0.0870813594924079,0.0010046602951155768,0.08808601978752348,0.2048285435389271,0.6572774469000717,False
1694470,Вася Обломов,США,22,22,-0.33853682321457823,-0.2133059327801069,0.12523089043447133,0.3485086534857108,0.10160407783655549,False
1696241,Виктор Ужаков,Сербия,6,6,-0.14542550841967264,-0.15426946679751077,-0.008843958377838135,-0.023766639499496884,1.0,False
1904764,Kate NV,Сербия,8,8,0.02223328873515129,-0.1496503974000613,-0.1718836861352126,-0.3155833205544385,0.4916341771697009,False
2150370,Ushko,Армения,28,28,-0.0870364632989679,-0.051196384820200155,0.035840078478767745,0.15776140306737732,0.23950478154062305,False
