pseudonym,has_ops,n_before,n_after,mean_before,mean_after,delta,cohens_d,p_value,significant
Noize MC,True,40,40,-0.18579444867041378,-0.2307705287883679,-0.04497608011795412,-0.16065000339430516,0.7599858551675281,False
Oxxxymiron,True,38,38,-0.21567563124393163,-0.16425988445744702,0.05141574678648461,0.1596780599748363,0.6153338643448694,False
Лу (Louna),False,56,56,-0.19119973711314658,-0.004308643617800304,0.18689109349534627,0.7290635527744475,0.0046307754617038645,True
Монеточка,True,30,30,-0.31094115459256705,-0.22755703402890098,0.08338412056366606,0.28667292497317165,0.30809622740308795,False
Анастасия Креслина,False,22,22,-0.12346389426878006,-0.29336677525531163,-0.16990288098653156,-0.34850454208323906,0.09328995618360462,False
FACE,True,26,26,-0.16492711416421793,-0.3306935799236481,-0.1657664657594302,-0.38533824708546116,0.2535935842870344,False
Земфира,True,13,13,-0.18351318973761338,0.016125469253613398,0.1996386589912268,0.49119456216998364,0.2861025864111867,False
Шура Би-2,True,33,33,-0.16971196189071192,-0.08156414330005646,0.08814781859065546,0.2332138707174007,0.41352259151709125,False
Арсений Морозов,False,60,60,-0.1567485253016154,-0.23139690160751342,-0.07464837630589802,-0.21679801142957994,0.17888435959310534,False
Айгель Гайсина,False,25,25,0.14997598191102346,-0.07141668577988942,-0.22139266769091287,-0.5670263664407188,0.021166808607993692,True
Моргенштерн,True,43,43,-0.2699797085609085,-0.2569787523081136,0.013000956252794904,0.03157334278865247,0.8832364674128805,False
Кирилл Иванов,False,27,27,-0.2107095234555963,-0.225903903628573,-0.015194380172976696,-0.04325440830333662,0.9299741799105131,False
Гречка,False,86,86,-0.19826378924555557,-0.12858382378553235,0.06967996546002322,0.1669955144565202,0.10718609977214637,False
Борис Гребенщиков,True,51,51,-0.0024877386350257726,-0.11799806268776164,-0.11551032405273587,-0.3812263386544599,0.07071645867369994,False
Максим Покровский,True,44,44,-0.3369331502101638,-0.3868391744115136,-0.04990602420134982,-0.1508288760961952,0.31541826460966205,False
Максим Леонидов,False,64,64,0.07262458512559533,-0.00015866942703723907,-0.07278325455263257,-0.18219864152905654,0.03572306993301428,True
Вера Мусаелян,False,36,36,-0.0749045288949101,0.0010046602951155768,0.07590918919002568,0.18331059514331124,0.5143537254259969,False
Вася Обломов,True,44,44,-0.3327513683597575,-0.2133059327801069,0.1194454355796506,0.3366840159692501,0.02504133461402905,True
Виктор Ужаков,False,8,8,-0.3988867737352848,-0.17635291814804077,0.22253385558724403,0.7756988171207541,0.17600302184398986,False
Kate NV,False,1,1,0.9610759615898132,0.0,-0.9610759615898132,,,False
Ushko,False,52,52,-0.05924370168493344,-0.05513456826790786,0.004109133417025582,0.018428750342123316,0.34098187510228595,False
