pseudonym,has_ops,n_before,n_after,mean_before,mean_after,delta,cohens_d,p_value,significant
Noize MC,True,102,40,-0.0031243741350626747,-0.005853893218581399,-0.0027295190835187246,-0.1316336681115098,0.3834808988249133,False
Oxxxymiron,True,46,38,-0.012091560509926436,-0.012722379786674468,-0.000630819276748032,-0.017407833527362884,0.257267675553149,False
Лу (Louna),False,114,28,-0.01158185469642666,-0.008264024189894604,0.0033178305065320567,0.10527556960270552,0.6022324667098922,False
Монеточка,True,65,30,-0.0005131127453732745,-0.008168947753888003,-0.007655835008514729,-0.3119090146137187,0.1355524089409881,False
Анастасия Креслина,False,28,22,-0.03100984976445496,-0.007983951226803326,0.023025898537651635,0.4293302948306318,0.1765966186678818,False
FACE,True,163,26,-0.004210309462494947,-0.020811530775112143,-0.016601221312617195,-0.42316503763302576,0.3946613984100421,False
Земфира,True,173,13,-0.008358115460595776,0.018664868465546384,0.02702298392614216,0.5441777278778123,0.18693031276869598,False
Шура Би-2,True,53,33,-0.004206600788005386,-0.002060568435397025,0.0021460323526083613,0.0615293644887199,0.7220467878014565,False
Арсений Морозов,False,55,30,-0.022061468971309988,-0.0021054323712162604,0.019956036600093728,0.3033294779819849,0.1359220948539573,False
Айгель Гайсина,False,59,25,0.006021727063306346,-0.010698881427547387,-0.016720608490853734,-0.32326369928999305,0.5951562951844225,False
Моргенштерн,True,43,93,-0.012709322759010733,-0.012132153553891334,0.0005771692051193995,0.011202300326550063,0.8598596763296784,False
Кирилл Иванов,False,90,27,-0.007592791677747945,-0.008787396514183485,-0.00119460483643554,-0.03520393679655626,0.8482166605072656,False
Гречка,False,140,46,-0.006813404616591797,0.0006235011620314116,0.007436905778623208,0.17555732680476013,0.21229691746336643,False
Борис Гребенщиков,True,446,51,-0.0014964361925770171,-0.010365571437512388,-0.00886913524493537,-0.3406812468255357,0.012806349853015035,True
Максим Покровский,True,92,22,-0.005969493812443145,-0.014273373753547685,-0.00830387994110454,-0.42165221847276846,0.021737119207741476,True
Максим Леонидов,False,62,32,-0.0030513206545251434,0.00424929793355303,0.007300618588078173,0.2663089509290042,0.9521515888922198,False
Вера Мусаелян,False,69,18,0.00022979214138421517,-0.007494092145766296,-0.007723884287150511,-0.3354752537774618,0.5516881163844987,False
Вася Обломов,True,132,22,-0.01254211391531029,0.0031297223754042235,0.015671836290714513,0.38442123174637144,0.0048800574659711195,True
Виктор Ужаков,False,74,6,-0.0025206276864667932,-0.012310320570796904,-0.009789692884330112,-0.2897212687871908,0.293036156498356,False
Kate NV,False,12,1,0.05428381193064641,0.018518518518518517,-0.03576529341212789,,,False
Ushko,False,55,26,-0.005250506393587463,-0.00018127914907494017,0.005069227244512523,0.16869797471025094,0.5126502163288907,False
