artist_genius_id,pseudonym,country,n_before,n_after,mean_before,mean_after,delta,cohens_d,p_value,significant
23616,Noize MC,Литва,40,40,-0.007026165837141489,-0.004312603105450443,0.0027135627316910464,0.16456759815132993,0.7073607039926951,False
24422,Oxxxymiron,Великобритания,38,38,-0.007564973270329605,-0.010034927758810114,-0.0024699544884805094,-0.08905937061224536,0.3362703570848744,False
356911,Лу (Louna),Израиль,14,14,-0.014363877091115146,-0.00671092309506036,0.007652953996054785,0.35038742520759575,0.4081398991210319,False
638315,Монеточка,Литва,30,30,-0.0032132483410885304,-0.006053870625349903,-0.002840622284261373,-0.15401069921518487,0.5009468321108543,False
659958,Анастасия Креслина,Великобритания,24,24,-0.025442470855534638,-0.009885751107390574,0.015556719748144064,0.3702083035316357,0.3194151762219388,False
988966,FACE,Греция,26,26,-0.004849513008918165,-0.015404705662296275,-0.01055519265337811,-0.37610443314146336,0.6532911050010448,False
1025364,Земфира,Франция,13,13,-0.014241573540653403,0.01441888385369224,0.028660457394345643,0.6884107164652828,0.19549173664971797,False
1027095,Шура Би-2,Израиль,33,33,-0.010157159554342779,-0.0017094705605914273,0.008447688993751352,0.3180998028943865,0.3387627936085458,False
1105316,Арсений Морозов,Грузия,30,30,-0.035535211474030035,-0.0020602617735328626,0.03347494970049717,0.4158374528252989,0.008032567333734211,True
1158010,Айгель Гайсина,Турция,25,25,0.01101022550849167,-0.008037455748345307,-0.01904768125683698,-0.3887570094732642,0.48710668290781123,False
1267272,Моргенштерн,ОАЭ,46,95,-0.009048317600784643,-0.006767925139193995,0.0022803924615906477,0.0772815725670383,0.8978698707547489,False
1319279,Кирилл Иванов,Грузия,27,27,-0.010006857310984732,-0.006898300000271834,0.0031085573107128978,0.14061364113823868,0.9653121567377827,False
1325712,Гречка,Грузия,26,26,-0.0015387510132273184,-0.0005452000771784642,0.0009935509360488543,0.03615094381048214,0.5697761770843606,False
1365487,Борис Гребенщиков,Великобритания,51,51,-0.0017401620403536236,-0.008106147833359195,-0.006365985793005572,-0.3517957046544365,0.05841189747704485,False
1481096,Максим Покровский,США,22,22,-0.005006057083167879,-0.0104786759709078,-0.005472618887739921,-0.4616903340684987,0.07811237448698959,False
1642799,Максим Леонидов,Израиль,16,16,-0.002983095482911045,0.003203909427776688,0.006187004910687733,0.28994765481513657,0.8949587705269595,False
1656186,Вера Мусаелян,Германия,9,9,-0.006956676277700376,-0.005963965688368656,0.0009927105893317197,0.05882824125962089,0.595481241161228,False
1694470,Вася Обломов,США,11,11,-0.0030839448961105173,0.001970408990494711,0.005054353886605228,0.4195481048745913,0.381770061287909,False
1696241,Виктор Ужаков,Сербия,6,6,-0.009940902589283884,-0.009662024722265686,0.0002788778670181971,0.01686848529876644,0.3471635053003266,False
1904764,Kate NV,Сербия,1,1,0.18627450980392157,0.013513513513513514,-0.17276099629040806,,,
2150370,Ushko,Армения,26,26,0.002944552841312874,0.00024612203600666514,-0.002698430805306209,-0.12999714140179988,0.03790932651088865,True
