song_id,title,artist_genius_id,pseudonym,country,legal_status,period,release_date,reloc_date,total_words,pos_count,neg_count,tonal_count,sentiment_ratio,polarity,pos_ratio,neg_ratio,tonal_density
13520340,Спящая красавица (Sleeping Beauty),23616,Noize MC,Литва,иноагент,after,2026-05-07,2022-03-01,308,1,1,2,0.0,0.0,0.003246753246753247,0.003246753246753247,0.006493506493506494
13488863,«Свободная тема» (”Free topic”),23616,Noize MC,Литва,иноагент,after,2026-05-01,2022-03-01,327,10,6,16,0.012232415902140673,0.25,0.03058103975535168,0.01834862385321101,0.04892966360856269
12852701,Тепер я знаю (Now I Know),23616,Noize MC,Литва,иноагент,after,2026-03-20,2022-03-01,362,1,3,4,-0.0055248618784530384,-0.5,0.0027624309392265192,0.008287292817679558,0.011049723756906077
12787708,Улица Авеля (Abel Street),23616,Noize MC,Литва,иноагент,after,2025-12-05,2022-03-01,299,4,6,10,-0.006688963210702341,-0.2,0.013377926421404682,0.020066889632107024,0.033444816053511704
12786267,Пчёлы слов (Bees of Words),23616,Noize MC,Литва,иноагент,after,2025-12-05,2022-03-01,353,1,7,8,-0.0169971671388102,-0.75,0.0028328611898017,0.019830028328611898,0.0226628895184136
12764793,Чернокнижник (The Warlock),23616,Noize MC,Литва,иноагент,after,2025-12-05,2022-03-01,316,0,6,6,-0.0189873417721519,-1.0,0.0,0.0189873417721519,0.0189873417721519
12388324,Планета Земля (Planet Earth),23616,Noize MC,Литва,иноагент,after,2025-09-10,2022-03-01,360,1,5,6,-0.011111111111111112,-0.6666666666666666,0.002777777777777778,0.013888888888888888,0.016666666666666666
11857180,из окна (Remix),23616,Noize MC,Литва,иноагент,after,2025-05-12,2022-03-01,462,0,4,4,-0.008658008658008658,-1.0,0.0,0.008658008658008658,0.008658008658008658
11937119,Чёрный Ящик (The black box),23616,Noize MC,Литва,иноагент,after,2025-03-26,2022-03-01,217,3,4,7,-0.004608294930875576,-0.14285714285714285,0.013824884792626729,0.018433179723502304,0.03225806451612903
11584360,Молчанка (Quiet Game),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,215,5,1,6,0.018604651162790697,0.6666666666666666,0.023255813953488372,0.004651162790697674,0.027906976744186046
11578429,Атлантида (Atlantis),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,317,1,6,7,-0.015772870662460567,-0.7142857142857143,0.0031545741324921135,0.01892744479495268,0.022082018927444796
11591829,Зубная фея (Tooth Fairy),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,308,7,1,8,0.01948051948051948,0.75,0.022727272727272728,0.003246753246753247,0.025974025974025976
11591917,Соловьи (Nightingales),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,282,1,3,4,-0.0070921985815602835,-0.5,0.0035460992907801418,0.010638297872340425,0.014184397163120567
11587053,Причины для радости (Reasons To Be Happy),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,310,6,2,8,0.012903225806451613,0.5,0.01935483870967742,0.0064516129032258064,0.025806451612903226
11284702,Не все дома (Not All There),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,448,7,8,15,-0.002232142857142857,-0.06666666666666667,0.015625,0.017857142857142856,0.033482142857142856
11592182,Самка богомола (Female Praying Mantis),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,217,4,3,7,0.004608294930875576,0.14285714285714285,0.018433179723502304,0.013824884792626729,0.03225806451612903
11591835,Кооператив «Лебединое озеро» (Remix by ProtoCaryotes) (CSL),23616,Noize MC,Литва,иноагент,after,2025-03-14,2022-03-01,335,0,2,2,-0.005970149253731343,-1.0,0.0,0.005970149253731343,0.005970149253731343
11204521,Обломки чувств (Fragments Of Feelings),23616,Noize MC,Литва,иноагент,after,2025-03-07,2022-03-01,237,3,5,8,-0.008438818565400843,-0.25,0.012658227848101266,0.02109704641350211,0.03375527426160337
11592298,Светлая полоса (One-Man Band Live - Light Stripe),23616,Noize MC,Литва,иноагент,after,2025-01-03,2022-03-01,286,2,0,2,0.006993006993006993,1.0,0.006993006993006993,0.0,0.006993006993006993
10947347,Светлая полоса (Light Stripe),23616,Noize MC,Литва,иноагент,after,2024-10-02,2022-03-01,261,2,0,2,0.007662835249042145,1.0,0.007662835249042145,0.0,0.007662835249042145
10385975,Voyager 1 (Live in New York),23616,Noize MC,Литва,иноагент,after,2024-05-07,2022-03-01,300,1,4,5,-0.01,-0.6,0.0033333333333333335,0.013333333333333334,0.016666666666666666
10207879,Памяти Алексея Навального (In Memory of Alexei Navalny),23616,Noize MC,Литва,иноагент,after,2024-03-26,2022-03-01,925,18,22,40,-0.004324324324324324,-0.1,0.01945945945945946,0.023783783783783784,0.043243243243243246
10088507,Open Air,23616,Noize MC,Литва,иноагент,after,2024-02-23,2022-03-01,283,0,5,5,-0.0176678445229682,-1.0,0.0,0.0176678445229682,0.0176678445229682
9863068,Грабли (Rake — Live Looping Version),23616,Noize MC,Литва,иноагент,after,2023-12-22,2022-03-01,365,3,1,4,0.005479452054794521,0.5,0.00821917808219178,0.0027397260273972603,0.010958904109589041
8721451,Кооператив «Лебединое озеро» (Cooperative «Swan Lake»),23616,Noize MC,Литва,иноагент,after,2023-04-14,2022-03-01,148,0,1,1,-0.006756756756756757,-1.0,0.0,0.006756756756756757,0.006756756756756757
8785319,Никто не пострадал (No One Was Injured),23616,Noize MC,Литва,иноагент,after,2023-02-01,2022-03-01,105,1,1,2,0.0,0.0,0.009523809523809525,0.009523809523809525,0.01904761904761905
8735150,Парнас (Parnassus),23616,Noize MC,Литва,иноагент,after,2023-01-13,2022-03-01,121,1,3,4,-0.01652892561983471,-0.5,0.008264462809917356,0.024793388429752067,0.03305785123966942
8908012,LOL,23616,Noize MC,Литва,иноагент,after,2022-11-04,2022-03-01,162,8,5,13,0.018518518518518517,0.23076923076923078,0.04938271604938271,0.030864197530864196,0.08024691358024691
12099999,Всё как у людей (Live at Stadium) (Everything is Like People’s),23616,Noize MC,Литва,иноагент,after,2022-09-30,2022-03-01,546,4,3,7,0.0018315018315018315,0.14285714285714285,0.007326007326007326,0.005494505494505495,0.01282051282051282
8440107,Make Some Noize (Live at Stadium),23616,Noize MC,Литва,иноагент,after,2022-09-30,2022-03-01,329,0,0,0,0.0,0.0,0.0,0.0,0.0
8440100,Миокард (Live at Stadium) (Myocardium),23616,Noize MC,Литва,иноагент,after,2022-09-30,2022-03-01,449,8,2,10,0.013363028953229399,0.6,0.017817371937639197,0.004454342984409799,0.022271714922048998
8440105,Устрой дестрой (Make Destroy) [Live at Stadium],23616,Noize MC,Литва,иноагент,after,2022-09-30,2022-03-01,367,3,18,21,-0.04087193460490463,-0.7142857142857143,0.008174386920980926,0.04904632152588556,0.05722070844686648
8440106,26.04 (Live at Stadium),23616,Noize MC,Литва,иноагент,after,2022-09-30,2022-03-01,373,4,9,13,-0.013404825737265416,-0.38461538461538464,0.010723860589812333,0.024128686327077747,0.03485254691689008
8440101,Грабли (Rake) [Live at Stadium],23616,Noize MC,Литва,иноагент,after,2022-09-30,2022-03-01,302,1,1,2,0.0,0.0,0.0033112582781456954,0.0033112582781456954,0.006622516556291391
8402120,Криокамеры (Cryochambers),23616,Noize MC,Литва,иноагент,after,2022-09-21,2022-03-01,252,2,2,4,0.0,0.0,0.007936507936507936,0.007936507936507936,0.015873015873015872
8261887,Вестерн (Vestern),23616,Noize MC,Литва,иноагент,after,2022-08-03,2022-03-01,304,7,16,23,-0.029605263157894735,-0.391304347826087,0.023026315789473683,0.05263157894736842,0.0756578947368421
7488709,Neverland,23616,Noize MC,Литва,иноагент,after,2022-06-17,2022-03-01,624,21,13,34,0.01282051282051282,0.23529411764705882,0.03365384615384615,0.020833333333333332,0.05448717948717949
7928299,Аусвайс (Ausweis),23616,Noize MC,Литва,иноагент,after,2022-04-21,2022-03-01,218,0,8,8,-0.03669724770642202,-1.0,0.0,0.03669724770642202,0.03669724770642202
10193842,Столітня Війна (Hundred Years’ War),23616,Noize MC,Литва,иноагент,after,2022-03-28,2022-03-01,322,1,2,3,-0.003105590062111801,-0.3333333333333333,0.003105590062111801,0.006211180124223602,0.009316770186335404
7787793,Экранное время (Screen Time),23616,Noize MC,Литва,иноагент,after,2022-03-11,2022-03-01,376,1,7,8,-0.015957446808510637,-0.75,0.0026595744680851063,0.018617021276595744,0.02127659574468085
7481207,Песня предателя (Traitor’s song),23616,Noize MC,Литва,иноагент,before,2021-12-17,2022-03-01,280,2,5,7,-0.010714285714285714,-0.42857142857142855,0.007142857142857143,0.017857142857142856,0.025
7481205,Трансгуманизм 2.0 (Transhumanism 2.0),23616,Noize MC,Литва,иноагент,before,2021-12-17,2022-03-01,449,3,1,4,0.004454342984409799,0.5,0.0066815144766146995,0.0022271714922048997,0.008908685968819599
7481203,Вуду (Voodoo),23616,Noize MC,Литва,иноагент,before,2021-12-17,2022-03-01,242,3,1,4,0.008264462809917356,0.5,0.012396694214876033,0.004132231404958678,0.01652892561983471
7481211,Первые симптомы (First Symptoms),23616,Noize MC,Литва,иноагент,before,2021-12-17,2022-03-01,241,1,11,12,-0.04149377593360996,-0.8333333333333334,0.004149377593360996,0.04564315352697095,0.04979253112033195
