topic,mean_after,mean_before,delta
topic_0,0.1679411922879661,0.12706381211638249,0.04087738017158363
topic_1,0.03712322473899926,0.0374560020823614,-0.0003327773433621367
topic_2,0.2925904990856196,0.27587920241104247,0.01671129667457716
topic_3,0.10474078349180287,0.10208172387274499,0.0026590596190578797
topic_4,0.0874725089346925,0.097394904029844,-0.009922395095151512
topic_5,0.035695479276592355,0.04601155242748565,-0.010316073150893293
topic_6,0.06066126878630892,0.03854189802852886,0.02211937075778006
topic_7,0.08931536672125412,0.1266740648029961,-0.03735869808174197
topic_8,0.0799462857453093,0.07707792056898256,0.0028683651763267426
topic_9,0.04451339093145491,0.07181891965963152,-0.027305528728176612
