topic,mean_after,mean_before,delta
topic_0,0.1674176900912222,0.18127395222537857,-0.01385626213415636
topic_1,0.07120489834293117,0.04360657502600618,0.027598323316924994
topic_2,0.13011193529340742,0.15245032130689415,-0.022338386013486727
topic_3,0.09075923337448694,0.07885372509218311,0.011905508282303828
topic_4,0.10794975419203957,0.10935983805210402,-0.0014100838600644428
topic_5,0.08354809926209855,0.09135590353466033,-0.00780780427256178
topic_6,0.17527863163978363,0.16932177266245405,0.005956858977329588
topic_7,0.060818406091406554,0.06248613769877619,-0.0016677316073696324
topic_8,0.04379358841770596,0.038752083108962075,0.005041505308743886
topic_9,0.06911776329491795,0.07253969129258134,-0.0034219279976633876
