topic,mean_after,mean_before,delta
topic_0,0.1690431682563644,0.15610892920366262,0.012934239052701774
topic_1,0.07076203777592184,0.060323902319506,0.010438135456415844
topic_2,0.13373441895752458,0.13230838080796786,0.0014260381495567187
topic_3,0.08666486095013715,0.08042976114417878,0.0062350998059583634
topic_4,0.10495819406698031,0.10254760383324196,0.0024105902337383522
topic_5,0.09624364644936147,0.09946745765663809,-0.0032238112072766195
topic_6,0.16755518439858008,0.16476167957101026,0.0027935048275698204
topic_7,0.05837658792435661,0.06663377135960454,-0.008257183435247922
topic_8,0.04294962817132221,0.06587593941101187,-0.022926311239689662
topic_9,0.06971227304945136,0.071542574693178,-0.001830301643726634
